species_name	gbif_species_key	gbif_species_url	photo_1_mature_overall	photo_2_mature_overall	photo_3_flower_very_close_up	photo_4_flower_moderate_close_up	photo_5_unique_feature_photo_wildcard	photo_6_spring_feature	photo_7_summer_feature	photo_8_fall_feature	photo_9_winter_feature	total_number_of_SKUs	number_of_nursery_suppliers	nursery_to_SKU_count	original_name_summary	size_summary	quantity_summary	
Polygonum polygamum	5334493	https://www.gbif.org/species/5334493	https://www.gbif.org/occurrence/3925503339	https://www.gbif.org/occurrence/3407998938	https://www.gbif.org/occurrence/4950360963	https://www.gbif.org/occurrence/4936053689	https://www.gbif.org/occurrence/4919458872	https://www.gbif.org/occurrence/4863680442	https://www.gbif.org/occurrence/3888925549	https://www.gbif.org/occurrence/3384087248	https://www.gbif.org/occurrence/3355475463	1	1	The Natives:1	"Polygonum polygamum var. brachystachya":1	"g":1	"C":1	Synonym of Polygonella polygama (Vent.) Engelm. & A.Gray
Coreopsis floridana	3133876	https://www.gbif.org/species/3133876	https://inaturalist-open-data.s3.amazonaws.com/photos/349249691/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/240657113/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/240573101/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/240573163/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/335260514/original.jpg	2nd photo  https://www.gbif.org/occurrence/3124553324	https://www.gbif.org/occurrence/2963753833	https://www.gbif.org/occurrence/3961389355	https://www.gbif.org/occurrence/4535961666	1	1	The Natives:1	"Coreopsis floridana":1	"g":1	"C":1	
Lechea deckertii	5331130	https://www.gbif.org/species/5331130	https://inaturalist-open-data.s3.amazonaws.com/photos/94411581/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/231799904/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/215888948/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/94411593/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/94411574/original.jpg	https://www.gbif.org/occurrence/3109069795	https://www.gbif.org/occurrence/4133940350	https://www.gbif.org/occurrence/3915421056	https://www.gbif.org/occurrence/4034871501	1	1	The Natives:1	"Lechea deckertii":1	"g":1	"C":1	
Rosa palustris	3004297	https://www.gbif.org/species/3004297	https://www.gbif.org/occurrence/3124494486	https://www.gbif.org/occurrence/3784741582	https://www.gbif.org/occurrence/3302531595	https://www.gbif.org/occurrence/4846890997	https://www.gbif.org/occurrence/1847416139	https://www.gbif.org/occurrence/3070491654	https://www.gbif.org/occurrence/4904182449	https://www.gbif.org/occurrence/2429530315	https://www.gbif.org/occurrence/4009844032	1	1	The Natives:1	"Rosa palustris":1	"g":1	"C":1	
Campsis radicans	3172549	https://www.gbif.org/species/3172549	https://www.gbif.org/occurrence/4872151948	https://www.gbif.org/occurrence/4891844394	https://www.gbif.org/occurrence/4901472190	https://www.gbif.org/occurrence/4867986485	https://www.gbif.org/occurrence/4994204572	https://www.gbif.org/occurrence/5140385282	https://www.gbif.org/occurrence/4910769860	https://www.gbif.org/occurrence/4946438705	https://www.gbif.org/occurrence/5109163861	1	1	The Natives:1	"Campsis radicans":1	"g":1	"C":1	
Ctenium aromaticum	5290066	https://www.gbif.org/species/5290066	https://www.gbif.org/occurrence/5154634528	https://www.gbif.org/occurrence/4911084914	https://www.gbif.org/occurrence/4908089896	https://www.gbif.org/occurrence/5087695656	https://www.gbif.org/occurrence/4171893803	https://www.gbif.org/occurrence/3118501478	https://www.gbif.org/occurrence/4165711015	https://www.gbif.org/occurrence/2641355388	https://www.gbif.org/occurrence/5007987782	1	1	The Natives:1	"Ctenium aromaticum":1	"TT":1	"C":1	
Elephantopus elatus	5395893	https://www.gbif.org/species/5395893	https://inaturalist-open-data.s3.amazonaws.com/photos/320269161/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/400056153/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/420985438/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/420618537/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/211211237/original.jpeg	https://www.gbif.org/occurrence/3858392574	https://www.gbif.org/occurrence/4924175778	https://www.gbif.org/occurrence/4978393427	https://www.gbif.org/occurrence/3008561971	1	1	The Natives:1	"Elephantopus elatus":1	"g":1	"C":1	
Sericocarpus tortifolius	3088845	https://www.gbif.org/species/3088845	https://www.gbif.org/occurrence/4516585537	https://www.gbif.org/occurrence/3384396191	https://www.gbif.org/occurrence/4952786120	https://www.gbif.org/occurrence/4935650158	https://www.gbif.org/occurrence/3963546188	https://www.gbif.org/occurrence/5110402911	https://www.gbif.org/occurrence/2423095864	https://www.gbif.org/occurrence/4945535005	https://www.gbif.org/occurrence/4011666155	1	1	The Natives:1	"Sericocarpus tortifolius":1	"qts":1	"C":1	
Itea virginica	5362113	https://www.gbif.org/species/5362113	https://inaturalist-open-data.s3.amazonaws.com/photos/360537705/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/361977578/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/471180636/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/471180612/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/362109809/original.jpg	https://www.gbif.org/occurrence/4846832498	https://www.gbif.org/occurrence/2823264727	https://www.gbif.org/occurrence/2963796466	https://www.gbif.org/occurrence/4046508392	1	1	The Natives:1	"Itea virginica":1	"g":1	"M":1	
Coleataenia anceps	4932975	https://www.gbif.org/species/4932975	https://www.gbif.org/occurrence/4507571739	https://www.gbif.org/occurrence/3337757773	https://www.gbif.org/occurrence/5076773986	https://www.gbif.org/occurrence/4407107726	https://www.gbif.org/occurrence/3014045267	no occurrence	https://www.gbif.org/occurrence/4416783539	https://www.gbif.org/occurrence/4420827532	https://www.gbif.org/occurrence/3014149302	1	1	The Natives:1	"Coleataenia anceps":1	"TT":1	"M":1	
Panicum longifolium	3073	https://www.gbif.org/species/3073	https://www.gbif.org/occurrence/5153962720	https://www.gbif.org/occurrence/5007652499	https://www.gbif.org/occurrence/5133685915	https://www.gbif.org/occurrence/5007627074	https://www.gbif.org/occurrence/5070112515	https://www.gbif.org/occurrence/5087326274	https://www.gbif.org/occurrence/4903844557	https://www.gbif.org/occurrence/4946125951	https://www.gbif.org/occurrence/5076894238	1	1	The Natives:1	"Panicum longifolium":1	"TT":1	"M":1	
Rhus copallinum		https://www.gbif.org/species/3190557	Found this link, but is not the exact name, can you ask Jenny if we can use this one?									1	1	The Natives:1	"Rhus copallinum":1	"g":1	"M":1	
Quercus austrina	2879818	https://www.gbif.org/species/2879818	https://www.gbif.org/occurrence/4903931105	https://www.gbif.org/occurrence/4901686219	https://www.gbif.org/occurrence/4512071503	https://www.gbif.org/occurrence/4518974275	https://www.gbif.org/occurrence/5087025524	https://www.gbif.org/occurrence/5007680758	3rd photo  https://www.gbif.org/occurrence/4430401910	https://www.gbif.org/occurrence/5006736661	https://www.gbif.org/occurrence/3059081273	1	1	Cherrylake:1	"Quercus austrina":1	"45g":1	"_":1	
