nursery_id,item_code,common_name,scientific_name,description,container_size,container_type,quantity_available,wholesale_price,retail_price,location_code,category,plant_type,flower_color,published_height,published_spread,picture_1_url,sun_requirements,water_requirements,hardiness_zone,native_status,availability_date,notes
CHERRYLAKE,CUPLE00FC015,Leyland Cypress,X Cupressocyparis leylandii FTG,"6.5' X 2.5' X 0"" / Full all around, good structure.",15,Gallon,698,35.0,,FP,Tree,Tree,,6.5',2.5',https://cherrylake.com/images/web_photos/cuple00fc015_p_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPLE00FC030,Leyland Cypress,X Cupressocyparis leylandii FTG,"8' X 3' X 0"" / Consistent height",30,Gallon,428,125.0,,FA,Tree,Tree,,8',3',https://cherrylake.com/images/web_photos/cuple00fc030_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPLE00FC030,Leyland Cypress,X Cupressocyparis leylandii FTG,"8' X 4' X 0"" / Units per truck 300 Min order qty 75",30,Gallon,0,92.0,,CSP,Tree,Tree,,8',4',https://cherrylake.com/images/web_photos/cuple00fc030_p_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPLE00FC030,Leyland Cypress,X Cupressocyparis leylandii FTG,"10' X 4' X 2.25"" / Medium size bows/ large voids, inconsistent high",30,Gallon,17,79.5,,FD,Tree,Tree,,10',4',https://cherrylake.com/images/web_photos/cuple00fc030_d_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPSE00FC003,Cypress Italian FTG,,,1,Gallon,0,0.0,,FA,Tree,Tree,,,,https://cherrylake.com/images/web_photos/cupse00fc003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPSE00FC015,Italian Cypress,Cupressus sempervirens FTG,"9' X 1.5' X 1.5"" / Most consistent in height and spread.",15,Gallon,0,90.0,,FA,Tree,Tree,,9',1.5',https://cherrylake.com/images/web_photos/cupse00fc015_a_1.jpg,Variable,Medium,,Non-native,,Origin: Southern Europe and Western Asia
CHERRYLAKE,CUPSE00FC015,Italian Cypress,Cupressus sempervirens FTG,"9' X 0' X 0"" /",15,Gallon,303,65.0,,FP,Tree,Tree,,9',0',https://cherrylake.com/images/web_photos/cupse00fc015_p_1.jpg,Variable,Medium,,Non-native,,Origin: Southern Europe and Western Asia
CHERRYLAKE,CUPSE00FC030,Italian Cypress,Cupressus sempervirens FTG,"11' X 2' X 1.75"" / Full canopy, consistent structure",30,Gallon,293,265.0,,FA,Tree,Tree,,11',2',https://cherrylake.com/images/web_photos/cupse00fc030_a_1.jpg,Variable,Medium,,Non-native,,Origin: Southern Europe and Western Asia
CHERRYLAKE,CUPSE00FC030,Italian Cypress,Cupressus sempervirens FTG,"12' X 2' X 2.25"" / Full canopy, inconsistent height",30,Gallon,6,177.75,,FD,Tree,Tree,,12',2',https://cherrylake.com/images/web_photos/cupse00fc030_d_1.jpg,Variable,Medium,,Non-native,,"Availability: Limited Qty, Origin: Southern Europe and Western Asia"
CHERRYLAKE,CUPSE00FC045,Italian Cypress,Cupressus sempervirens FTG,"13' X 2' X 0"" /",45,Gallon,0,500.0,,FA,Tree,Tree,,12',3',https://cherrylake.com/images/web_photos/cupse00fc045_a_1.jpg,Variable,Medium,,Non-native,,"Availability: Oct-25, Origin: Southern Europe and Western Asia"
